,Beds,Baths,Square Ft,Type,Year Built,Lot Size,Stories,Address,Price
0,2,1,858,Single Family Residential,1920,"4,025 Sq. Ft.",1,"2318 Sacramento St,Berkeley, CA 94702","$858,000"
0,3,2,"2,284",Single Family Residential,1912,"5,687 Sq. Ft.",1.5,"1827 Marin Ave,Berkeley, CA 94707","$1,400,000"
0,4,3,"2,056",Single Family Residential,1907,"6,240 Sq. Ft.",1,"2933 Benvenue Ave,Berkeley, CA 94705","$1,995,000"
0,3,2,"2,147",Single Family Residential,1916,"4,000 Sq. Ft.",2,"915 San Benito Rd,Berkeley, CA 94707","$1,395,000"
0,3,1.5,"1,520",Single Family Residential,1917,"3,960 Sq. Ft.",1.5,"1617 Posen Ave,Berkeley, CA 94707","$1,399,000"
0,1,1,598,Single Family Residential,1925,"1,360 Sq. Ft.",1,"6319 Herzog St,Oakland, CA 94608","$699,000"
0,4,3,"2,607",Single Family Residential,1925,"5,100 Sq. Ft.",1,"453 boynton,Berkeley, CA 94707","$1,995,000"
0,1,1,638,Condo/Co-op,1912,—,2.5,"2600 Etna St #1,Berkeley, CA 94704","$649,000"
0,3,2,"1,560",Single Family Residential,1925,"5,700 Sq. Ft.",2,"567 Colusa Ave,Berkeley, CA 94707","$1,195,000"
0,3,1,"1,617",Single Family Residential,1913,"3,901 Sq. Ft.",1.5,"1128 Amador Ave,Berkeley, CA 94707","$1,550,000"
0,3,1.5,"1,836",Single Family Residential,1922,"5,000 Sq. Ft.",2,"1839 Tacoma Ave,Berkeley, CA 94707","$1,395,000"
0,2,1,"1,214",Single Family Residential,1931,"4,200 Sq. Ft.",1,"1645 Ocean View Ave,Kensington, CA 94707","$1,050,000"
0,4,3,"2,315",Single Family Residential,1935,"5,928 Sq. Ft.",2,"641 Spruce St,Berkeley, CA 94707","$1,495,000"
0,3,2,"2,055",Single Family Residential,1908,"3,500 Sq. Ft.",2,"2752 Mabel St,Berkeley, CA 94702","$899,000"
0,2,2,832,Single Family Residential,1916,"3,535 Sq. Ft.",1,"2428 Sacramento St,Berkeley, CA 94702","$750,000"
0,6,3,"3,333",Single Family Residential,1906,"6,500 Sq. Ft.",1.5,"2904 PIEDMONT Ave,Berkeley, CA 94705","$1,995,000"
0,2,1,920,Single Family Residential,1919,"2,898 Sq. Ft.",1.5,"1602 Jaynes St,Berkeley, CA 94703","$849,000"
